sessionId (id),page (text),latency (int),timeOnPage (float)
3794ed75,query,28,341.206
3871107a,welcome,11,33.364
38bf4757,welcome,54,24.89
b871cdab,explore,469,114.064
b8a21496,welcome,7,34.937
38731251,explore,241,139.015
388e7adf,,15,
38498b7e,index,4,77.304
b72e9d50,explore,22,148.57
37a6168f,welcome,79,31.976
b7cd9fae,query,122,371.659
38c8cabf,welcome,7,26.864
b8884021,query,61,397.191
3910ea02,index,43,37.757
3849c6fb,,21,
35c5412f,query,49,390.948
b8c69d26,query,17,450.058
b94a5b1f,query,76,405.405
b898d23e,explore,133,36.495
37d6bbaf,welcome,122,36.597
b78b6241,explore,72,90.594
b63335a2,explore,34,145.6
b8bba093,query,23,531.529
379b1d53,index,39,34.132
39449ddc,welcome,11,30.675
b9071e0f,explore,351,115.606
b880fe2e,query,98,390.655
38a53e49,welcome,13,18.609
37cca1bf,index,37,51.321
38f5c56b,query,26,393.322
b82c53e0,query,60,403.412
b8884021,welcome,29,27.125
b8f365e5,index,29,50.998
39098b28,index,20,55.521
b83f119a,query,35,335.234
387950ec,query,75,333.307
b8bb2174,explore,22,123.318
b8c172c6,query,161,344.279
3911c751,query,17,432.542
39163a9b,welcome,8,26.157
b7d41379,welcome,17,34.634
b8989f91,query,44,395.242
b8884021,explore,22,85.272
b6990fc2,query,84,373.525
b7006301,query,17,392.988
39449ddc,welcome,100,25.598
3.80E+08,query,65,304.453
b8660f88,explore,64,76.984
37db1c2e,welcome,27,25.521
389a5a09,query,20,506.279
b860ffac,welcome,70,31.021
39463fd5,query,56,477.74
38d3b1c9,welcome,19,30.175
39041af1,query,43,322.321
38876233,query,17,320.107
b7dba582,explore,119,180.079
3845e841,welcome,76,30.998
b8f365e5,,22,
b8b0e081,explore,195,106.404
388e7adf,explore,38,149.709
b78b6241,query,218,333.245
38d9e91d,explore,52,68.583
37eb9889,welcome,13,26.509
b7dba582,welcome,67,31.178
3905baf4,query,212,254.005
387fd3f2,query,24,341.687
b8d66d35,query,473,378.72
b98ba0ac,explore,95,94.061
38b6b950,query,72,303.33
37f7103f,welcome,10,26.819
b9322811,query,62,401.344
b6bfc32c,welcome,52,34.534
b87cde16,query,53,381.283
b8b6d7a6,query,51,328.898
b913fa3d,welcome,89,39.233
b5da8408,index,62,53.174
b816ed50,explore,197,55.963
b8b6d7a6,query,85,392.372
38876233,index,22,70.922
3827db44,welcome,19,21.249
b8e6681d,welcome,10,44.321
b7f28310,query,30,447.565
b83f119a,welcome,14,30.118
b8ee782d,query,39,383.804
35b444af,explore,51,124.992
b8b1fce4,query,189,341.172
35f3508e,welcome,32,27.6
3941ab5f,query,34,409.969
386d2da5,explore,202,55.569
b8bba093,query,87,465.647
b8d56faf,query,175,386.14
385539b2,,54,
390d228a,query,168,411.747
b7fddf00,index,4,53.51
b8d66d35,query,29,260.931
3801f09c,index,19,45.578
b6bfc32c,explore,57,94.419
38b0ba4b,explore,53,91.4
b8b1fce4,query,119,459.764
39048856,welcome,10,36.237
b86cb46d,query,17,292.52
38d3b1c9,explore,22,77.997
37eb9889,query,64,447.865
b83f119a,query,20,292.197
388473f3,welcome,10,26.03
b8b0e081,welcome,54,32.595
b8c09db8,query,27,337.274
3744b737,query,77,425.854
b9a11327,explore,175,80.113
b891a53e,query,77,253.395
3857dfc6,query,78,477.82
393d8a15,query,19,511.604
b9071e0f,query,91,382.111
37f37c41,query,111,387.893
3744b737,query,17,373.104
b98f41a7,query,87,437.468
b7ecd50e,explore,30,82.023
b9322811,explore,22,130.748
388d08f0,query,32,349.891
b909b158,welcome,7,29.31
b8bba093,,62,
3875fb10,query,324,439.099
b9058a3a,explore,172,102.54
3910ea02,query,463,437.273
b727c7ed,explore,78,129.107
b7b59c98,explore,113,149.273
b914e7a0,explore,33,101.591
b70bcb2c,query,344,339.714
38ff8474,query,152,452.958
3988f9c2,index,70,65.203
b8997506,welcome,27,27.194
b81aac1c,query,24,302.937
377f7199,explore,39,91.327
37c8fbf3,query,17,519.047
b90fcff0,explore,29,75.564
b91b59ef,query,25,338.984
b8e1fea6,query,17,273.117
37a6168f,welcome,7,28.024
b780efe5,explore,22,83.908
382345b2,welcome,39,22.686
3744b737,explore,247,121.959
b8bba093,explore,86,58.574
b904fd6c,query,68,472.631
38a7586c,query,209,317.994
380f0830,welcome,44,36.989
37b3f54d,welcome,11,36.439
38edf1a3,query,62,402.856
b8b0e081,explore,46,133.265
b7150245,welcome,71,33.201
b8b1fce4,,39,
b7b59c98,query,34,447.599
b98f6b2a,query,58,363.677
b8660f88,query,21,378.528
b915b875,,10,
b928afbe,welcome,73,20.378
384f2238,explore,130,194.632
390c3506,welcome,29,20.044
b8bb2174,explore,123,105.371
3901fa95,welcome,122,45.356
3849c6fb,explore,22,73.506
3867b4fa,query,23,465.094
b6958ebc,welcome,34,15.401
b5da8408,query,69,286.227
39098b28,query,75,441.449
b8f365e5,index,36,43.754
b8bb10b7,,109,
b9093311,query,17,404.305
b8bff102,welcome,53,22.284
35f3508e,explore,22,141.721
b83daced,query,163,378.154
38da9d49,query,128,316.427
b8bff102,welcome,10,18.415
37ab4274,welcome,20,35.505
38a9f6f5,query,25,304.127
4.00E+101,query,65,448.878
388c423e,explore,105,129.637
b8b1fce4,query,165,318.03
b909b158,index,8,51.219
37c64359,index,4,28.906
38acbfc9,welcome,36,20.449
b9011f98,query,311,208.668
382345b2,query,119,287.867
38b53b45,explore,233,70.04
37921011,query,58,376.992
3899ccda,explore,111,157.282
3.88E+13,explore,55,90.71
b8e1fea6,query,76,361.832
392269f6,welcome,32,30.071
b8621b79,explore,22,198.714
38071ebe,query,129,351.129
b7ca73fe,welcome,7,37.75
b8d358f0,welcome,48,24.508
3857dfc6,explore,83,91.853
38b768a6,explore,295,81.499
b8f55c89,query,77,448.24
b6990fc2,welcome,16,20.816
383abed1,explore,22,116.917
38946284,query,53,488.724
b8989f91,explore,22,63.577
38be11d8,welcome,7,37.799
b98ba0ac,explore,97,112.14
b5da8408,query,101,359.312
b78e3163,explore,246,120.988
b8d1dabb,explore,106,136.808
35cfb7c7,query,149,244.99
b73cf870,welcome,7,33.657
379b1d53,,82,
b70bcb2c,query,17,344.201
b8b0e081,query,17,437.127
39244681,welcome,24,33.868
38b157d8,query,160,325.066
3809ff9f,welcome,13,49.852
b7fa5fae,query,17,378.441
387e161c,welcome,9,38.936
3910ea02,explore,29,92.146
3809ff9f,explore,228,149.656
38e75f40,,26,
b7dc6a9a,query,82,380.036
b8a21496,query,241,335.289
b88a09a7,query,218,462.512
385d4712,welcome,7,27.156
b7711fd2,query,115,291.835
b8f365e5,welcome,43,34.136
b7b59c98,explore,109,76.483
b9322811,query,288,323.636
38c354f3,query,168,445.35
b89e1007,index,4,35.448
3882b813,query,117,508.412
b8acdbe3,explore,51,96.733
3912a215,query,326,444.541
38c46841,welcome,7,26.807
b72f7963,query,20,299.108
b68320d1,explore,133,135.402
38a271d8,welcome,10,42.732
3905baf4,,14,
3.89E+41,query,284,337.419
3707fb77,query,89,405.088
36b6fc81,query,36,553.06
b743e5c6,query,17,417.019
3825c62e,explore,45,55.457
3.80E+08,query,17,416.765
3959531f,welcome,8,29.213
b6bfc32c,index,4,44.786
b6bfc32c,explore,102,121.779
371b2fbe,explore,80,115.248
b836089c,query,82,183.456
38c9120d,query,116,405.508
3871107a,explore,109,185.859
38c8cabf,query,17,233.188
38c31cae,explore,162,112.702
b826ffe7,query,17,388.843
b7eff8f0,explore,132,145.662
38731251,query,17,457.297
385bf153,explore,22,172.963
3962b232,explore,56,71.671
38a271d8,welcome,53,29.262
b8817cf7,query,108,386.355
b92cb918,index,20,36.954
3882b813,query,100,315.116
b7dba582,explore,22,41.069
36efb219,,35,
387e161c,explore,44,128.285
3795b01d,query,118,391.014
3.92E+09,query,106,387.45
382db31a,,10,
b8c0d87a,query,338,346.653
b7f28310,query,265,377.389
3962b232,,15,
38c8cabf,explore,86,184.827
38e9c25e,explore,139,147.375
b909b158,index,4,23.714
b9093311,welcome,7,23.39
38b6b950,welcome,7,21.216
b72f7963,query,54,403.896
3845e841,explore,32,140.323
b929ba86,query,128,356.629
380659cb,explore,22,112.475
38a9f6f5,welcome,7,21.73
b6958ebc,query,165,402.78
b92cb918,explore,52,130.891
b8e5a9d7,explore,377,40.976
38edf1a3,welcome,19,32.599
3795b01d,index,56,34.613
387554d0,query,56,349.784
b961b7f3,query,62,384.282
3924671c,index,4,69.122
38a5e6dc,explore,100,110.795
b6b8e96f,query,217,429.346
b867a142,welcome,49,11.987
386d2da5,index,32,54.041
38551544,query,17,329.125
388d08f0,welcome,26,28.662
3845e841,explore,281,162.247
38c9120d,query,39,436.342
b97c6f36,query,61,343.349
b9093311,,102,
3431e690,query,65,394.514
b922e3e3,explore,22,103.332
b842859b,explore,214,161.16
b90fcff0,query,37,327.373
b78b6241,welcome,107,32.69
b8083d73,query,67,395.112
b957115e,query,17,474.077
393d8a15,explore,29,131.875
b8e5a9d7,explore,33,97.699
3912716d,welcome,17,41.915
b88a09a7,welcome,98,16.673
38e75f40,explore,39,209.222
b817c50e,query,297,375.383
b8b37cbc,explore,104,168.655
38ebf974,index,55,58.655
b8c09db8,query,121,396.895
b803639d,welcome,7,23.678
b891a53e,query,57,458.089
b68320d1,query,57,392.58
385d4712,welcome,21,14.92
3857dfc6,query,154,354.885
b8989f91,explore,59,101.03
3905baf4,welcome,36,42.283
34a81b8f,,90,
b922e3e3,query,55,363.49
b7ca73fe,explore,286,101.665
b8bb2174,query,181,380.66
395db9dc,welcome,50,30.574
b727c7ed,,34,
38dd988d,query,120,434.883
390c3506,explore,96,94.456
37921011,explore,22,104.227
b880fe2e,welcome,17,27.656
3825c62e,explore,100,50.86
382db31a,query,82,385.615
b78d0280,query,57,399.155
394107ce,welcome,19,30.273
b826ffe7,query,64,369.294
38731251,query,38,351.261
b85d00a8,explore,57,67.637
b78e3163,explore,22,160.823
b7d41379,explore,258,63.747
b95624a3,explore,234,136.302
38f5c56b,query,57,395.846
37c8fbf3,welcome,11,24.017
38c78d69,explore,42,111.606
b8463fd8,explore,43,156.831
b8160561,query,17,341.374
38ebf974,query,17,487.824
39048856,,67,
b8f51d3a,explore,38,89.098
b8075a0a,explore,115,141.726
38acbfc9,explore,144,128.95
37e627d2,index,8,41.674
3431e690,query,181,308.222
37dbf1b8,query,17,385.11
b7b59c98,,10,
b93a5bf5,index,63,56.36
38be11d8,explore,22,114.592
b929ba86,query,73,363.733
b853d519,query,17,414.92
b803639d,index,44,39.597
b9036d74,explore,108,102.349
b9166fd4,query,102,344.889
38a53e49,welcome,16,16.888
37c64359,explore,22,85.706
b8a7d0b8,query,17,379.733
39048856,,53,
b7851092,explore,68,132.77
b7b59c98,query,18,436.251
38ef3cac,explore,66,85.076
371b2fbe,welcome,8,33.384
b7fa5fae,explore,73,109.393
b89358fa,index,8,21.261
39449ddc,explore,27,121.452
379b1d53,query,38,396.121
b780efe5,index,44,55.358
3.80E+08,welcome,113,31.965
37ab4274,explore,22,132.99
b8d1dabb,welcome,7,44.762
b8884021,query,25,490.327
38551544,query,77,398.81
b867a142,query,141,476.811
b8da46e6,query,43,410.656
38c31cae,query,56,415.857
b92a4e3d,explore,207,123.135
3945ce3a,query,43,318.574
38dfb031,query,17,359.234
3910ea02,query,259,446.893
b684a433,query,17,407.732
38ff8474,explore,22,137.83
b925aacd,explore,49,138.136
b7fa5fae,welcome,56,39.812
37c8fbf3,query,175,321.206
b8997506,welcome,38,32.372
b92cb918,welcome,7,24.973
b7851092,explore,183,83.97
b89f9db4,welcome,7,27.005
379b1d53,explore,61,76.761
b80488d1,query,69,453.281
396c890c,explore,219,149.959
37b00432,welcome,65,46.559
b84369c5,explore,25,157.041
381dc512,explore,75,58.932
37cca1bf,explore,28,100.387
38946284,welcome,25,45.514
385d4712,explore,385,84.584
b928afbe,query,17,345.686
b78ab09a,,42,
35b444af,query,43,428.273
b63335a2,welcome,57,43.905
3707fb77,query,97,416.6
b8dd316b,query,17,433.069
3882b813,explore,175,111.058
381e9853,query,17,295.84
38a2afc1,query,162,323.709
b8f55c89,index,28,20.019
b8eb4d4e,explore,27,79.081
b867a142,,68,
b909b158,explore,33,99.641
b8989f91,explore,96,51.433
38d87afe,query,17,401.969
b6e9962b,query,26,418.995
395db9dc,explore,22,93.598
b8d19bd2,explore,31,149.336
b7cf0af2,query,66,481.8
b81aac1c,query,66,281.281
b8c83caf,explore,22,150.602
37f2055b,query,37,411.856
b92cb918,welcome,77,40.198
b6e567e4,,14,
387e161c,query,137,473.936
3910ea02,explore,43,128.231
b8d66d35,query,94,400.368
38aafec6,welcome,42,25.874
b9166fd4,welcome,32,38.764
b816ed50,explore,133,137.189
b688a066,query,34,335.868
b7eff8f0,welcome,16,40.446
38731251,welcome,20,32.118
b8569c03,welcome,8,18.667
b9036d74,index,5,60.906
39163a9b,explore,34,72.599
3858424d,welcome,24,37.044
38250955,explore,237,108.776
37b3f54d,query,17,389.596
b914eada,query,85,276.809
b93c1e35,explore,331,144.931
394107ce,query,257,405.433
37c64359,welcome,7,36.48
388e7adf,,132,
b802185b,query,17,498.876
36d0a1dc,query,17,411.903
b9a11327,,40,
b788a64e,index,23,27.631
38106d1a,,34,
b8d1dabb,explore,54,152.418
b8c09db8,,61,
b95624a3,query,17,349.585
b89358fa,query,93,500.762
b925aacd,welcome,104,22.69
b7006301,query,69,423.455
b8eb4d4e,query,22,367.917
38c78d69,welcome,18,20.477
37a6168f,explore,35,111.631
388e7adf,explore,162,129.147
b8bff102,query,95,452.914
392c9861,query,96,316.687
b7ecd50e,query,17,383.311
35b444af,explore,22,90.579
397850c1,query,17,387.436
b82c53e0,welcome,78,31.798
b895837d,query,117,356.883
b7f28310,query,106,330.686
b8c69d26,index,4,33.108
3908895c,query,49,336.14
b9036d74,welcome,126,33.444
b88a09a7,welcome,14,26.777
b8a3d144,index,8,22.467
377f7199,explore,86,131.029
b800ff0e,query,67,349.606
38dfb031,query,72,555.403
b961b7f3,explore,238,121.306
b8391a61,query,141,345.464
b871cdab,welcome,61,18.865
b9011f98,query,126,403.564
b8e5a9d7,query,30,312.742
b8d56faf,explore,123,51.264
388d08f0,,15,
b8a3ab17,welcome,26,29.357
b81aac1c,,58,
b8d66d35,explore,164,89.097
3795b01d,query,140,421.555
37ab4274,welcome,7,30.36
b8bb2174,query,307,396.287
b821442d,,17,
b961b7f3,welcome,7,27.87
382db31a,query,43,387.915
38090141,explore,56,39.216
b90fcff0,welcome,14,29.467
b895837d,explore,22,159.027
b9322811,welcome,7,24.389
b89e1007,explore,149,169.123
b909b158,query,120,399.642
3912716d,explore,76,127.344
b8160561,welcome,29,23.451
388cea01,,16,
3912716d,,49,
38acbfc9,query,204,370.199
38ff8474,query,93,353.029
38b09a88,query,44,445.135
b7b11343,query,117,279.716
385b8ebd,query,67,274.972
3791a42e,,24,
b8083d73,,87,
3857dfc6,explore,248,145.53
b7b11343,explore,166,120.607
b87c4065,query,17,316.55
b7b79d06,query,100,390.83
37e8bad2,query,37,373.114
3867b4fa,explore,22,108.624
b6e567e4,explore,459,72.146
3472f217,query,327,352.241
390a543e,welcome,7,29.673
b866983b,,35,
38e2c522,query,116,363.82
38edab26,index,10,39.913
37db1c2e,index,4,54.559
b895837d,explore,70,102.397
b8989f91,welcome,19,19.807
b8075a0a,welcome,7,48.01
38d87afe,welcome,7,23.13
3924671c,query,38,422.221
37eb9889,query,31,423.41
b914eada,,32,
3849c6fb,index,33,57.358
b94a5b1f,welcome,28,33.607
b880fe2e,index,53,74.197
b8bba093,welcome,22,36.528
b8660f88,query,69,409.419
b821442d,query,37,329.347
b91b59ef,query,20,462.569
b8ee782d,explore,256,138.796
38b0ba4b,query,17,449.107
b8a3ab17,welcome,92,43.118
390a543e,explore,22,102.051
b81aac1c,index,7,70.321
38ef3cac,explore,22,126.606
38a5e6dc,explore,87,84.362
b93a5bf5,query,68,332.44
b7599dee,query,446,410.852
b891a53e,welcome,55,23.713
38d9e91d,explore,72,84.819
3.89E+41,explore,22,103.794
b72f7963,query,63,403.046
b8d56faf,welcome,21,35.442
b860ffac,explore,22,161.621
b9315418,explore,174,87.108
34a81b8f,,11,
b89f9db4,welcome,17,28.982
387554d0,explore,198,122.414
b904fd6c,explore,28,85.126
3910ea02,query,48,363.432
b8a7d0b8,,114,
38dd988d,explore,63,100.445
b7fddf00,welcome,7,29.343
b8e2850c,explore,173,119.601
b7e9cf39,welcome,14,13.76
b6e567e4,query,261,335.1
3794ed75,explore,234,140.931
3857dfc6,explore,94,170.792
b6e9962b,welcome,27,35.894
b98ba0ac,explore,68,70.538
b81aac1c,index,7,84.626
38c78d69,,11,
3901fa95,query,34,520.265
391e2eeb,query,17,403.443
382533f1,query,85,268.326
3908895c,explore,57,71.905
b8b37cbc,query,178,310.872
38ebf974,query,217,384.045
b97c6f36,explore,54,110.572
38826074,query,37,371.734
3912716d,index,14,42.213
38ebf974,query,17,387.967
37c8fbf3,explore,96,75.363
b803639d,welcome,38,46.201
37c8fbf3,query,17,442.966
38106d1a,index,11,34.545
b95624a3,,174,
b8f51d3a,index,18,71.93
38090141,explore,36,155.503
38edf1a3,,64,
b817c50e,index,15,57.866
3905baf4,query,84,364.817
388c423e,query,91,421.816
b72f7963,query,17,333.621
382db31a,query,44,368.382
b8075a0a,index,26,31.741
b8997f4c,explore,232,75.922
b8391a61,welcome,27,21.494
3871107a,query,68,363.672
36efb219,explore,22,9.966
3801f09c,query,43,437.046
b8ee782d,query,121,368.087
b887db02,query,108,469.105
3.88E+13,query,37,444.349
b870db1c,query,80,301.677
b8bb2174,,10,
b803639d,query,124,291.554
3791a42e,welcome,21,23.632
b93c1e35,query,128,448.098
386d2da5,query,27,391.63
37cca1bf,explore,58,54.521
37f9de59,welcome,7,35.252
38b09a88,explore,69,126.548
b76cdcea,index,17,59.942
38bf4757,query,261,413.26
390a543e,query,114,337.63
b92a4e3d,welcome,38,18.868
b78b6241,explore,281,28.944
b780efe5,explore,244,61.486
38e2c522,query,17,410.538
38c354f3,index,24,69.405
b909b158,query,106,441.344
b8dd316b,query,34,367.227
b8bff102,query,129,378.203
4.00E+101,explore,132,111.297
b92a4e3d,query,389,410.433
b78ab09a,welcome,47,36.411
3744b737,query,186,272.821
37eb9889,explore,22,118.555
b94e2817,explore,591,132.357
b8391a61,index,5,29.2
37db1c2e,query,17,320.874
38e75f40,query,25,423.767
37f2055b,explore,132,173.761
b83f119a,welcome,23,20.608
397850c1,query,168,385.915
b913fa3d,,10,
387e161c,query,90,379.251
b78e3163,welcome,20,32.041
380659cb,welcome,27,29.849
b957115e,welcome,52,29.157
3884d3b8,query,17,432.674
38a271d8,index,16,23.174
b8621b79,query,203,379.424
b99b685a,query,30,344.583
b70bcb2c,query,197,406.164
b8075a0a,query,56,439.536
38acbfc9,query,30,372.798
b92cb918,explore,22,111.41
390a543e,welcome,7,25.223
b8b7a428,query,19,295.232
3945ce3a,,52,
38ebf974,explore,284,111.496
b63ebe25,,27,
b8660f88,query,17,399.096
b8b6d7a6,,64,
380659cb,index,6,32.127
38a5e6dc,welcome,12,36.809
39449ddc,query,17,342.223
38dfb031,explore,197,121.285
3.89E+41,query,71,429.32
37f37c41,explore,127,97.508
38731251,query,17,480.264
38b768a6,welcome,24,24.284
b853adc7,index,32,74.333
b8a3ab17,welcome,7,29.704
b81aac1c,welcome,49,33.369
38498b7e,index,4,35.038
b8e6681d,explore,22,135.26
38e75f40,index,4,45.249
3861d537,explore,185,68.18
b915b875,welcome,7,34.568
b688a066,explore,22,107.289
b7851092,,10,
b802185b,explore,50,91.307
b70bcb2c,index,10,59.21
388cea01,query,17,425.615
b7e9cf39,query,17,440.221
b7cd9fae,explore,172,125.791
390c3506,welcome,51,26.822
397850c1,explore,126,113.817
b8997506,,38,
b8e2850c,index,15,48.437
b87c4065,,22,
b8c83caf,index,4,78.751
b8463fd8,explore,22,117.386
b8f51d3a,explore,22,150.697
b8372421,welcome,98,42.839
37f82166,query,289,318.007
b8b1fce4,welcome,15,19.102
b9093311,index,97,38.401
b788a64e,welcome,39,34.8
39098b28,query,28,396.747
3945ce3a,,37,
b925aacd,explore,22,182.677
b79faab0,,35,
b8083d73,query,116,383.85
38826074,explore,98,112.404
379f5fd6,explore,270,47.385
b870db1c,welcome,7,32.913
397850c1,query,49,480.167
3.92E+09,explore,22,66.112
379f5fd6,explore,22,54.632
b925aacd,welcome,8,34.382
3857dfc6,,25,
b8f51d3a,query,227,387.818
b9036d74,,10,
37f37c41,query,61,417.484
37cca1bf,welcome,91,25.9
b8463fd8,welcome,24,16.21
3.89E+41,query,112,359.375
b8adaed6,explore,22,79.47
b8b1fce4,explore,85,204.695
b8a57e40,query,91,405.777
b9166fd4,explore,24,65.137
39041af1,,133,
37ad3faf,query,25,350.629
3809ff9f,query,19,481.51
3899ea49,,10,
b8a7d0b8,index,21,64.209
38edab26,index,24,36.786
39872d38,explore,72,98.262
b7b187ea,,81,
b7b187ea,explore,183,32.173
39098b28,query,130,275.889
38090141,query,78,268.543
b8160561,query,119,430.789
b83daced,query,17,451.201
39041af1,explore,27,140.478
36efb219,query,33,269.24
37f7103f,index,38,50.662
38731251,index,13,41.887
3899ea49,query,20,458.688
39098b28,explore,89,86.296
390c3506,welcome,129,27.976
39185800,,10,
38f5c56b,,10,
387e161c,query,236,412.959
3795b01d,welcome,94,39.295
3910ea02,query,212,353.736
37b3f54d,query,89,394.636
b7711fd2,welcome,41,26.281
3941ab5f,,66,
38c8cabf,,33,
b6bfc32c,,16,
3911c751,explore,77,84.064
b89358fa,explore,133,134.113
b8e5a9d7,explore,48,73.944
39872d38,explore,47,77.392
b8f55c89,index,21,42.646
37b00432,index,25,53.42
37e8bad2,welcome,10,39.304
b860ffac,query,98,308.217
3910ea02,query,105,328.432
38d0167a,index,24,59.849
390c3506,explore,54,123.633
b925aacd,welcome,44,26.356
3882b813,query,46,400.156
37eb9889,query,136,385.98
b78ab09a,query,36,375.773
3795b01d,welcome,27,20.677
3871107a,query,221,300.168
38b53b45,,213,
394857b7,query,58,347.025
b97b1f52,explore,313,89.965
38a7586c,query,72,317.311
b780efe5,,10,
3707fb77,explore,32,91.219
b817c50e,explore,45,119.396
b8160561,welcome,32,42.138
b87cde16,welcome,47,36.633
38106d1a,,10,
b817c50e,welcome,7,32.102
b78d0280,explore,76,121.368
382345b2,explore,29,173.837
b870db1c,welcome,55,18.35
381e9853,query,34,407.541
3794ed75,welcome,14,38.735
b8dd316b,explore,211,76.616
b7b11343,,10,
b92a4e3d,query,189,384.31
397850c1,,16,
b688a066,welcome,7,19.22
b86cb46d,query,33,358.206
b9322811,explore,161,92.256
b68320d1,explore,146,149.89
b9069c73,query,77,345.98
3707fb77,explore,22,63.632
38790dde,query,79,438.462
371b2fbe,query,88,336.911
b802185b,explore,187,100.097
b8a3ab17,explore,87,123.753
387e161c,index,6,20.594
3875fb10,index,4,73.255
38a7586c,,10,
b8c172c6,,11,
b802185b,query,160,390.679
37c64359,query,154,288.953
38071ebe,query,103,471.664
3871107a,index,6,44.102
38b09a88,explore,22,67.558
b8cc8870,query,86,406.797
38678694,welcome,41,28.694
b7006301,explore,440,119.373
3861d537,,27,
383abed1,explore,79,95.474
38c354f3,query,49,413.676
37f37c41,welcome,98,18.841
b63335a2,query,98,420.163
b7b11343,explore,190,121.036
b7b11343,welcome,12,36.007
b6b8e96f,welcome,32,15.68
38a7586c,query,172,276.993
383abed1,,28,
b8656837,welcome,42,32.885
37d6bbaf,welcome,34,36.748
38da9d49,explore,149,131.369
37dd5930,explore,22,119.732
383abed1,explore,136,62.685
3875fb10,welcome,27,30.76
3926e692,,98,
34a81b8f,welcome,7,32.817
388e7adf,query,34,370.442
b8621b79,query,319,485.976
b7dc6a9a,welcome,60,26.24
b89358fa,welcome,21,35.02
b895837d,query,86,351.537
b8cfbab8,welcome,10,23.223
b9166fd4,query,34,312.201
38678694,query,139,475.588
38edf1a3,index,4,37.1
3795b01d,query,66,364.888
b6a42ef9,query,17,480.091
b82c53e0,,24,
37f2055b,query,83,321.265
3941ab5f,query,263,360.396
b87cde16,query,151,322.893
37dbf1b8,explore,200,61.341
3905baf4,query,265,263.909
394107ce,explore,228,75.738
b8c09db8,query,175,458.555
b92a4e3d,explore,146,191.47
b9322811,welcome,95,21.626
38dfb031,welcome,52,22.663
b880fe2e,welcome,27,18.499
b6bfc32c,query,25,564.511
3795b01d,query,29,344.849
381e9853,query,17,414.609
379b1d53,query,121,408.883
38dbc151,welcome,16,22.161
37d6bbaf,query,72,464.119
b9322811,query,17,309.245
385539b2,explore,125,132.77
b9071e0f,explore,68,137.627
b83daced,index,45,52.723
38aafec6,query,17,352.105
b7eff8f0,welcome,7,30.979
387fd3f2,query,76,343.051
b8372421,query,112,408.839
38ebf974,explore,27,99.214
b8b6d7a6,index,19,36.688
38946284,explore,33,85.546
b4d56bdc,query,31,407.106
b7e1c8a3,query,279,416.341
38c8cabf,welcome,20,31.663
39098b28,explore,22,95.537
35b444af,query,24,312.651
b73cf870,query,66,394.218
b8adaed6,query,30,345.61
386d2da5,welcome,21,30.707
b98f6b2a,query,19,386.244
b70bcb2c,explore,22,120.177
37f7103f,welcome,27,41.014
38731251,explore,116,76.978
38dd988d,explore,81,149.327
38e7e056,query,334,362.521
387950ec,index,27,43.62
3875fb10,explore,384,99.716
b8b6d7a6,explore,64,71.161
38d9e91d,query,39,341.285
38d0167a,query,39,292.566
b6e567e4,explore,60,84.57
b93c1e35,explore,106,90.838
b6bfc32c,,64,
b8d66d35,explore,67,137.473
3959531f,welcome,7,29.772
38b0ba4b,index,4,45.52
b895837d,explore,325,56.21
37e8bad2,explore,167,124.37
37295f54,query,23,433.162
b95624a3,explore,22,104.018
3959531f,query,18,352.59
b5da8408,query,92,411.504
38a53e49,query,119,359.411
b915b875,explore,67,73.507
b915b875,query,17,356.571
b89358fa,welcome,29,28.648
b8656837,query,19,288.216
b94a5b1f,explore,57,91.015
b8bb10b7,query,17,354.541
b7cd9fae,welcome,42,27.377
38e2c522,explore,48,98.373
38790dde,index,12,65.721
b8bb10b7,explore,161,102.246
b98ba0ac,explore,22,97.866
38bc1af6,query,69,412.077
38c31cae,welcome,8,29.771
b7d41379,query,61,415.986
38dfb031,query,55,494.979
b909b158,welcome,52,33.826
396a04f5,welcome,81,20.728
393d8a15,query,133,320.298
b8c172c6,query,17,407.827
b8dd316b,explore,52,69.586
b83f119a,explore,152,175.095
b826ffe7,welcome,36,30.344
b80488d1,query,130,374.564
b97b1f52,explore,116,104.259
b8c172c6,query,129,362.356
391e2eeb,query,17,305.996
b8dd316b,explore,69,110.999
b802185b,welcome,17,32.642
38e75f40,query,227,427.629
387554d0,query,87,412.563
b87cde16,query,28,338.163
b83f119a,query,54,320.48
3912a215,query,17,439.501
38acbfc9,query,217,490.33
b86cb46d,,11,
37a6168f,query,41,365.394
b895837d,query,116,319.286
3795b01d,query,29,340.923
b9073d39,query,17,458.651
385b8ebd,explore,31,120.535
b842859b,index,19,27.019
38b768a6,query,17,402.534
b8c172c6,welcome,8,22.789
36a0d5ec,query,120,285.68
388e7adf,query,80,489.412
3707fb77,query,17,299.201
b8075a0a,explore,41,158.62
b90fcff0,query,163,235.224
b891a53e,query,68,262.493
b78b6241,query,17,334.7
b9036d74,query,68,406.784
b7599dee,explore,22,177.851
b93c1e35,query,113,250.417
38e75f40,index,8,56.364
b8a3ab17,query,17,321.866
b8569c03,query,139,407.523
b688a066,welcome,10,28.032
37b3f54d,explore,212,186.629
38c8cabf,explore,27,56.858
b803639d,query,21,375.577
b8f365e5,index,5,39.718
b4d56bdc,query,61,345.685
38d9e91d,explore,96,129.374
b8cc8870,welcome,19,44.013
389a5a09,welcome,59,37.431
b91b59ef,query,26,445.031
